No.	Well	Dep  Dist		Code	AC 	CNL 	DEN 	GR 	PE 	RLLD
1	46-27C2	3488.600	0.004	0	157.4490	1.7140	2.7230	16.3030	4.9430	9487.7100
2	71-2	3575.800	0.010	0	156.5890	0.9850	2.6940	13.3360	5.0110	10252.1040
3	43-46	3340.700	0.013	0	155.5190	1.1850	2.7010	12.3470	5.0430	9167.3370
4	72-04	3468.100	0.014	0	158.2350	1.2530	2.7190	9.7050	5.0790	8163.5000
5	46-10	3325.200	0.016	0	161.6070	1.7260	2.7270	13.2940	4.8840	10322.2400
6	43-46	3340.000	0.017	0	156.4670	1.0340	2.6940	12.4720	5.1080	8954.5240
7	60-09	3575.800	0.019	0	156.5490	1.7110	2.6880	17.6200	4.9370	7356.1680
8	72-04	3471.900	0.020	0	161.4810	1.6210	2.7290	12.1400	4.8590	8319.0020
9	46-4	3436.400	0.022	0	154.9750	0.7840	2.7150	9.8070	4.9580	9943.3080
10	70-04	3586.200	0.023	0	156.5100	0.6980	2.7360	11.9490	4.8530	10222.8260
11	46-4	3436.100	0.024	0	158.8040	1.3820	2.7170	23.3590	5.1000	10524.3180
12	53-08	3454.500	0.025	0	156.0480	1.7680	2.7300	16.3170	4.9860	15982.4860
13	46-27C2	3485.900	0.026	0	158.0730	0.8130	2.7110	19.4510	5.1270	7273.7660
14	46-10	3334.100	0.027	0	159.8920	2.2460	2.7220	13.9480	4.7890	12173.9710
15	54-3	3552.100	0.028	0	155.2860	1.7190	2.7150	19.7580	4.9970	6514.5100
16	46-27C2	3488.500	0.029	0	157.4930	0.9430	2.7140	15.7010	4.9200	17665.9410
17	46-43	3335.500	0.030	0	158.4130	2.3900	2.6930	20.2880	4.8440	9937.5810
18	45-34	3439.800	0.031	0	159.7550	2.1720	2.6980	21.2370	4.8110	10552.2990
19	71-2	3574.500	0.032	0	155.9510	1.3230	2.6970	15.2630	5.0400	17604.7270
20	60-09	3575.900	0.033	0	156.6080	1.7970	2.7060	18.4270	4.7490	7299.5670
21	47-38C4	3424.400	0.034	0	156.9440	1.1120	2.6910	11.5500	4.8750	16826.6720
22	43-46	3344.500	0.035	0	156.1920	1.2890	2.6970	10.6440	4.7610	13751.4330
23	47-44	3515.700	0.036	0	153.6860	1.5380	2.7210	10.7540	4.9920	15281.7140
24	79-06	3458.000	0.037	0	155.7060	0.8620	2.6890	9.4600	5.1070	7276.4570
25	41-22C3	3489.500	0.038	0	156.1650	2.0140	2.7260	22.1020	5.1320	13367.5860
26	44-45	3280.200	0.039	0	156.7960	1.5840	2.6870	14.0980	4.9840	5266.1590
27	42-12	3318.900	0.040	0	155.4450	1.4800	2.7440	11.1320	5.0510	6071.6100
28	60-1	3433.400	0.041	0	160.3240	1.7690	2.7120	9.1630	4.8710	5593.2150
29	64-05	3534.400	0.042	0	160.4220	2.4750	2.7340	14.9200	4.8280	6680.1400
30	64-05	3557.100	0.043	0	156.3200	0.6200	2.7250	11.3600	5.1020	5866.2010
31	49-25	3437.400	0.044	0	155.5350	0.9370	2.7150	9.3620	4.7650	6788.4290
32	41-22C3	3487.300	0.045	0	157.5510	0.8800	2.7350	17.7260	4.9470	19658.6800
33	43-21	3378.000	0.046	0	160.1550	0.5680	2.7650	16.5470	4.8750	11592.1570
34	46-6C1	3398.000	0.047	0	161.2570	1.2580	2.7150	13.1320	5.1160	5172.2290
35	64-01	3507.200	0.048	0	158.8720	1.2860	2.7340	13.2990	4.7880	5261.7430
